id,name,year
0,The Shawshank Redemption,(1994)
1,The Godfather,(1972)
2,The Godfather: Part II,(1974)
3,The Dark Knight,(2008)
4,12 Angry Men,(1957)
5,Schindler's List,(1993)
6,The Lord of the Rings: The Return of the King,(2003)
7,Pulp Fiction,(1994)
8,"The Good, the Bad and the Ugly",(1966)
9,The Lord of the Rings: The Fellowship of the Ring,(2001)
10,Fight Club,(1999)
11,Forrest Gump,(1994)
12,Inception,(2010)
13,The Lord of the Rings: The Two Towers,(2002)
14,Star Wars: Episode V - The Empire Strikes Back,(1980)
15,The Matrix,(1999)
16,Goodfellas,(1990)
17,One Flew Over the Cuckoo's Nest,(1975)
18,Seven Samurai,(1954)
19,Se7en,(1995)
20,Life Is Beautiful,(1997)
21,City of God,(2002)
22,The Silence of the Lambs,(1991)
23,It's a Wonderful Life,(1946)
24,Star Wars: Episode IV - A New Hope,(1977)
25,Saving Private Ryan,(1998)
26,Spirited Away,(2001)
27,The Green Mile,(1999)
28,Interstellar,(2014)
29,Parasite,(2019)
30,Léon: The Professional,(1994)
31,The Usual Suspects,(1995)
32,Harakiri,(1962)
33,The Lion King,(1994)
34,The Pianist,(2002)
35,Back to the Future,(1985)
36,Terminator 2: Judgment Day,(1991)
37,American History X,(1998)
38,Modern Times,(1936)
39,Psycho,(1960)
40,Gladiator,(2000)
41,City Lights,(1931)
42,The Departed,(2006)
43,The Intouchables,(2011)
44,Whiplash,(2014)
45,The Prestige,(2006)
46,Grave of the Fireflies,(1988)
47,Once Upon a Time in the West,(1968)
48,Hamilton,(2020)
49,Casablanca,(1942)
50,Cinema Paradiso,(1988)
51,Rear Window,(1954)
52,Alien,(1979)
53,Apocalypse Now,(1979)
54,Memento,(2000)
55,The Great Dictator,(1940)
56,Raiders of the Lost Ark,(1981)
57,Django Unchained,(2012)
58,The Lives of Others,(2006)
59,Joker,(2019)
60,Paths of Glory,(1957)
61,WALL·E,(2008)
62,The Shining,(1980)
63,Avengers: Infinity War,(2018)
64,Sunset Blvd.,(1950)
65,Witness for the Prosecution,(1957)
66,Oldboy,(2003)
67,Spider-Man: Into the Spider-Verse,(2018)
68,Princess Mononoke,(1997)
69,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964)
70,The Dark Knight Rises,(2012)
71,Once Upon a Time in America,(1984)
72,Aliens,(1986)
73,Your Name.,(2016)
74,Avengers: Endgame,(2019)
75,Coco,(2017)
76,American Beauty,(1999)
77,Braveheart,(1995)
78,Das Boot,(1981)
79,3 Idiots,(2009)
80,Toy Story,(1995)
81,High and Low,(1963)
